Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Avg_Working_time,Years_At_Company_Bin,Percent_Salary_Hike_Bin,Years_With_Current_Manager_Bin
32,No,Travel_Rarely,Human Resources,12,2,Human Resources,1,1314,Female,1,Sales Representative,Single,20610,1,15,8,1,1,2,1,0,0,2,3,4,1,3,7.960068851,0-1 years,10-15 % Salary Hike,Less than Year
20,Yes,Travel_Frequently,Sales,4,4,Life Sciences,1,1315,Female,2,Healthcare Representative,Single,99240,1,22,8,0,1,3,1,1,0,3,4,4,4,3,10.71213753,0-1 years,20-25 % Salary Hike,Less than Year
34,No,Travel_Rarely,Research & Development,1,4,Other,1,1316,Male,4,Laboratory Technician,Single,41980,1,22,8,1,16,2,16,2,10,2,4,1,3,3,7.6230579,10+ years,20-25 % Salary Hike,5-10 years
37,No,Non-Travel,Sales,24,2,Life Sciences,1,1317,Male,1,Research Scientist,Divorced,68150,5,20,8,1,17,3,1,0,0,3,4,3,4,4,7.783722944,0-1 years,15-20 % Salary Hike,Less than Year
59,No,Non-Travel,Research & Development,12,2,Life Sciences,1,1318,Male,2,Sales Executive,Married,47230,9,14,8,0,30,0,3,2,2,3,3,3,4,3,7.212025166,2-5 years,10-15 % Salary Hike,2-5 years
50,No,Travel_Frequently,Research & Development,3,4,Medical,1,1319,Male,4,Research Scientist,Married,61420,3,13,8,2,28,3,8,0,7,2,3,1,2,2,9.584148784,5-10 years,10-15 % Salary Hike,5-10 years
25,Yes,Travel_Rarely,Sales,10,1,Marketing,1,1320,Male,2,Research Director,Single,82370,1,13,8,0,6,6,6,0,3,2,3,3,3,3,8.510076072,5-10 years,10-15 % Salary Hike,2-5 years
25,No,Travel_Rarely,Research & Development,26,3,Technical Degree,1,1321,Male,1,Laboratory Technician,Married,88530,1,22,8,1,2,3,2,2,1,3,4,4,4,3,7.701500692,2-5 years,20-25 % Salary Hike,0-1 years
22,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1322,Male,1,Sales Representative,Single,193310,1,12,8,1,1,2,0,0,0,3,3,2,4,3,6.262097107,Less than year,10-15 % Salary Hike,Less than Year
51,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,1323,Female,1,Sales Executive,Single,20730,3,14,8,1,23,4,13,12,8,3,3,1,1,2,7.489573454,10+ years,10-15 % Salary Hike,5-10 years
34,Yes,Travel_Frequently,Human Resources,4,4,Life Sciences,1,1324,Female,5,Sales Executive,Single,55620,1,15,8,0,9,3,9,0,6,3,3,1,3,3,8.218455882,5-10 years,10-15 % Salary Hike,5-10 years
54,No,Non-Travel,Research & Development,9,3,Life Sciences,1,1325,Male,1,Laboratory Technician,Single,196130,2,17,8,0,23,5,5,4,4,3,3,4,4,3,8.14307971,2-5 years,15-20 % Salary Hike,2-5 years
24,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1326,Male,2,Laboratory Technician,Married,34070,0,13,8,1,6,4,5,1,2,3,3,2,3,3,6.488012372,2-5 years,10-15 % Salary Hike,2-5 years
34,No,Travel_Rarely,Sales,4,3,Marketing,1,1327,Female,2,Sales Representative,Divorced,50630,6,12,8,1,12,2,1,0,0,3,3,3,2,3,5.999905063,0-1 years,10-15 % Salary Hike,Less than Year
37,No,Travel_Rarely,Sales,6,1,Technical Degree,1,1328,Male,1,Laboratory Technician,Single,46390,2,12,8,2,12,3,5,1,3,3,3,3,4,3,6.221693008,2-5 years,10-15 % Salary Hike,2-5 years
34,No,Travel_Rarely,Sales,9,2,Medical,1,1329,Male,2,Healthcare Representative,Single,48760,2,21,8,1,14,3,11,5,8,3,4,3,1,3,7.85572479,10+ years,20-25 % Salary Hike,5-10 years
36,No,Travel_Frequently,Human Resources,7,3,Medical,1,1330,Male,1,Research Scientist,Married,26900,0,11,8,0,10,1,9,2,8,3,3,2,4,3,7.984710551,5-10 years,10-15 % Salary Hike,5-10 years
36,No,Travel_Rarely,Research & Development,1,3,Medical,1,1331,Female,2,Manufacturing Director,Divorced,175670,5,13,8,0,7,6,1,0,0,3,3,1,4,3,7.499870448,0-1 years,10-15 % Salary Hike,Less than Year
43,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,1332,Male,1,Sales Executive,Married,24080,1,12,8,1,25,3,25,4,12,3,3,3,4,4,8.702949173,Less than year,10-15 % Salary Hike,10+ years
30,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,1333,Female,3,Healthcare Representative,Divorced,28140,1,24,8,0,10,2,10,0,9,3,4,1,3,2,7.911812169,5-10 years,20-25 % Salary Hike,5-10 years
33,No,Non-Travel,Sales,7,3,Life Sciences,1,1334,Male,2,Sales Executive,Married,112450,0,21,8,0,8,3,7,0,7,3,4,3,2,4,6.70854481,5-10 years,20-25 % Salary Hike,5-10 years
56,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,1,1335,Male,2,Laboratory Technician,Married,33120,9,19,8,0,7,1,5,4,3,1,3,2,2,3,9.013333333,2-5 years,15-20 % Salary Hike,2-5 years
51,No,Travel_Rarely,Research & Development,3,2,Other,1,1336,Female,2,Sales Representative,Single,190490,7,14,8,1,23,2,20,15,15,3,3,1,3,3,6.686394676,10+ years,10-15 % Salary Hike,10+ years
31,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1337,Female,3,Sales Executive,Married,21410,4,20,8,0,12,2,7,7,7,3,4,2,3,2,8.39816762,5-10 years,15-20 % Salary Hike,5-10 years
26,No,Travel_Rarely,Sales,17,3,Medical,1,1338,Female,2,Manager,Married,57690,1,19,8,0,5,4,5,4,3,2,3,3,2,2,7.685123588,2-5 years,15-20 % Salary Hike,2-5 years
58,Yes,Travel_Rarely,Sales,2,2,Medical,1,1339,Female,1,Research Scientist,Married,43850,1,13,8,1,40,2,40,15,6,2,3,4,4,2,7.548068613,Less than year,10-15 % Salary Hike,5-10 years
19,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,1340,Male,1,Manager,Single,53320,1,23,8,1,0,2,0,0,0,3,4,4,3,2,9.363881915,Less than year,20-25 % Salary Hike,Less than Year
22,No,Travel_Rarely,Sales,29,4,Technical Degree,1,1341,Male,1,Sales Executive,Married,46630,0,13,8,1,3,1,2,2,1,3,3,3,4,3,6.379811676,2-5 years,10-15 % Salary Hike,0-1 years
49,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1342,Female,1,Sales Executive,Married,47240,1,11,8,1,16,3,15,5,11,2,3,3,1,2,7.194425926,10+ years,10-15 % Salary Hike,10+ years
43,No,Travel_Frequently,Sales,2,2,Life Sciences,1,1343,Male,1,Sales Executive,Single,32110,4,13,8,0,18,2,3,1,2,4,3,2,3,3,7.978614703,2-5 years,10-15 % Salary Hike,2-5 years
50,No,Travel_Frequently,Research & Development,19,4,Life Sciences,1,1344,Male,2,Sales Executive,Single,53770,4,14,8,1,16,3,2,2,1,4,3,3,4,3,7.080387029,2-5 years,10-15 % Salary Hike,0-1 years
31,Yes,Travel_Rarely,Research & Development,15,1,Medical,1,1345,Female,2,Sales Executive,Married,40660,3,22,8,0,4,2,2,2,2,2,4,2,3,3,8.406022676,2-5 years,20-25 % Salary Hike,2-5 years
41,No,Travel_Rarely,Research & Development,17,2,Other,1,1346,Male,1,Manufacturing Director,Divorced,52080,3,11,8,3,12,2,9,0,7,1,3,3,3,3,8.118852499,5-10 years,10-15 % Salary Hike,5-10 years
26,No,Travel_Rarely,Research & Development,17,4,Life Sciences,1,1347,Male,2,Sales Executive,Married,48770,1,13,8,1,8,5,8,5,7,4,3,3,3,3,7.950108543,5-10 years,10-15 % Salary Hike,5-10 years
36,No,Travel_Rarely,Human Resources,25,1,Human Resources,1,1348,Male,2,Research Scientist,Divorced,31170,6,21,8,1,7,2,3,0,1,4,4,2,2,3,6.799012476,2-5 years,20-25 % Salary Hike,0-1 years
51,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,1349,Female,1,Manager,Single,15690,2,11,8,0,18,2,4,0,3,4,3,1,4,3,7.189976852,2-5 years,10-15 % Salary Hike,2-5 years
39,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1350,Female,1,Research Scientist,Married,196580,4,13,8,1,17,3,15,5,9,4,3,4,3,4,7.877014739,10+ years,10-15 % Salary Hike,5-10 years
25,No,Travel_Rarely,Sales,29,1,Medical,1,1351,Female,3,Research Scientist,Married,30690,2,14,8,1,6,3,2,2,2,2,3,1,3,3,7.7932992,2-5 years,10-15 % Salary Hike,2-5 years
30,No,Travel_Rarely,Research & Development,21,1,Medical,1,1352,Male,2,Laboratory Technician,Married,104350,0,11,8,0,12,5,11,4,7,3,3,3,4,1,9.99520683,10+ years,10-15 % Salary Hike,5-10 years
32,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1,1353,Female,2,Research Director,Single,41480,7,15,8,0,10,0,5,0,4,2,3,1,1,4,7.90171832,2-5 years,10-15 % Salary Hike,2-5 years
45,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,1354,Female,2,Healthcare Representative,Single,57680,5,23,8,1,9,4,6,0,3,3,4,3,4,2,7.374128019,5-10 years,20-25 % Salary Hike,2-5 years
38,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,1355,Female,2,Research Director,Single,50420,3,16,8,1,19,4,3,2,2,3,3,4,3,3,10.41590673,2-5 years,15-20 % Salary Hike,2-5 years
30,No,Travel_Rarely,Sales,13,3,Marketing,1,1356,Female,2,Laboratory Technician,Single,57700,1,16,8,1,5,2,5,0,4,4,3,1,3,2,6.680294326,2-5 years,15-20 % Salary Hike,2-5 years
32,No,Travel_Frequently,Sales,2,3,Marketing,1,1357,Male,3,Laboratory Technician,Divorced,77560,0,21,8,0,9,3,8,0,7,3,4,4,4,4,6.505978562,5-10 years,20-25 % Salary Hike,5-10 years
30,No,Travel_Rarely,Research & Development,1,3,Medical,1,1358,Female,3,Sales Executive,Divorced,103060,5,13,8,0,8,5,3,2,2,3,3,4,1,3,6.720969786,2-5 years,10-15 % Salary Hike,2-5 years
30,No,Travel_Rarely,Sales,9,3,Medical,1,1359,Male,2,Research Scientist,Single,39360,0,11,8,1,6,3,5,1,2,3,3,2,4,3,6.394015595,2-5 years,10-15 % Salary Hike,2-5 years
41,No,Travel_Frequently,Sales,10,2,Medical,1,1360,Female,3,Manufacturing Director,Divorced,79450,4,12,8,1,21,6,7,7,7,2,3,4,1,2,7.318976125,5-10 years,10-15 % Salary Hike,5-10 years
41,No,Travel_Rarely,Research & Development,10,4,Medical,1,1361,Male,4,Research Scientist,Married,57430,2,12,8,3,7,2,5,1,4,4,3,3,1,3,8.016141844,2-5 years,10-15 % Salary Hike,2-5 years
19,No,Travel_Rarely,Research & Development,1,3,Other,1,1362,Female,5,Manufacturing Director,Single,152020,1,18,8,3,1,2,1,0,0,2,3,2,2,3,6.380013774,0-1 years,15-20 % Salary Hike,Less than Year
40,No,Travel_Frequently,Research & Development,26,4,Medical,1,1363,Male,2,Manufacturing Director,Divorced,54400,1,12,8,1,20,2,20,2,13,3,3,2,2,3,7.00396077,10+ years,10-15 % Salary Hike,10+ years
35,No,Travel_Rarely,Sales,8,1,Marketing,1,1364,Female,3,Laboratory Technician,Married,37600,1,14,8,3,10,2,10,0,6,3,3,3,2,3,7.395136494,5-10 years,10-15 % Salary Hike,5-10 years
53,No,Travel_Rarely,Sales,14,2,Life Sciences,1,1365,Female,5,Manufacturing Director,Married,35170,2,12,8,1,13,1,7,4,5,2,3,2,3,1,10.8931681,5-10 years,10-15 % Salary Hike,2-5 years
45,No,Travel_Rarely,Sales,1,4,Technical Degree,1,1366,Male,1,Research Scientist,Divorced,25800,8,17,8,3,20,3,17,0,15,3,3,2,2,1,6.790741546,10+ years,15-20 % Salary Hike,10+ years
32,No,Travel_Frequently,Sales,2,2,Life Sciences,1,1367,Female,1,Manufacturing Director,Single,21660,1,19,8,1,9,4,9,3,7,1,3,2,4,3,7.907401891,5-10 years,15-20 % Salary Hike,5-10 years
29,No,Non-Travel,Research & Development,10,4,Technical Degree,1,1368,Male,3,Healthcare Representative,Married,58690,1,11,8,1,10,6,10,0,9,4,3,4,3,3,6.096573682,5-10 years,10-15 % Salary Hike,5-10 years
51,No,Travel_Rarely,Research & Development,1,3,Other,1,1369,Female,3,Research Director,Married,80080,2,15,8,1,10,4,1,0,0,3,3,2,3,3,7.573564815,0-1 years,10-15 % Salary Hike,Less than Year
58,No,Travel_Rarely,Sales,3,3,Marketing,1,1370,Female,1,Research Scientist,Married,52060,4,11,8,3,9,4,1,0,0,1,3,2,2,2,9.988622403,0-1 years,10-15 % Salary Hike,Less than Year
40,No,Travel_Rarely,Research & Development,11,2,Technical Degree,1,1371,Male,4,Laboratory Technician,Married,52950,7,18,8,0,15,4,12,2,11,3,3,3,4,2,6.195923489,10+ years,15-20 % Salary Hike,10+ years
34,No,Travel_Frequently,Sales,24,4,Marketing,1,1372,Male,2,Manufacturing Director,Married,164130,6,16,8,0,6,1,4,1,2,3,3,3,3,3,6.977579023,2-5 years,15-20 % Salary Hike,2-5 years
22,No,Travel_Rarely,Research & Development,3,3,Medical,1,1373,Male,1,Laboratory Technician,Married,132690,1,25,8,1,2,2,2,2,2,3,4,3,4,3,7.677799497,2-5 years,20-25 % Salary Hike,2-5 years
27,No,Non-Travel,Research & Development,3,3,Medical,1,1374,Male,1,Healthcare Representative,Divorced,27830,6,16,8,1,6,2,2,2,2,4,3,4,2,1,6.300498366,2-5 years,15-20 % Salary Hike,2-5 years
28,No,Travel_Rarely,Sales,4,4,Life Sciences,1,1375,Male,2,Healthcare Representative,Married,54330,1,13,8,1,5,4,5,0,2,2,3,3,4,1,6.532742905,2-5 years,10-15 % Salary Hike,2-5 years
57,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1376,Male,2,Manufacturing Director,Divorced,20130,3,14,8,1,12,5,5,1,4,3,3,3,4,1,10.87448509,2-5 years,10-15 % Salary Hike,2-5 years
27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,1377,Male,1,Manufacturing Director,Divorced,139660,1,19,8,0,1,1,1,0,1,3,3,3,3,2,10.61474966,0-1 years,15-20 % Salary Hike,0-1 years
50,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,1378,Female,2,Manufacturing Director,Single,43740,3,15,8,1,21,5,5,4,4,4,3,3,2,3,6.208623033,2-5 years,10-15 % Salary Hike,2-5 years
41,No,Travel_Rarely,Sales,7,4,Marketing,1,1379,Male,4,Laboratory Technician,Divorced,68420,4,12,8,1,13,3,9,1,8,3,3,1,3,3,6.187160895,5-10 years,10-15 % Salary Hike,5-10 years
30,No,Travel_Rarely,Human Resources,1,4,Human Resources,1,1380,Female,1,Manager,Married,174260,2,12,8,1,12,0,10,7,4,2,3,2,4,3,6.909143918,5-10 years,10-15 % Salary Hike,2-5 years
38,No,Travel_Rarely,Sales,1,1,Medical,1,1381,Male,2,Laboratory Technician,Single,176030,4,16,8,0,12,0,8,0,7,2,3,1,4,4,6.323777778,5-10 years,15-20 % Salary Hike,5-10 years
32,No,Travel_Rarely,Research & Development,20,3,Medical,1,1382,Female,1,Manufacturing Director,Single,45810,3,14,8,1,8,3,5,1,4,3,3,3,3,3,6.933930795,2-5 years,10-15 % Salary Hike,2-5 years
27,No,Travel_Rarely,Research & Development,5,4,Medical,1,1383,Male,2,Healthcare Representative,Married,47350,0,13,8,0,6,2,5,1,1,3,3,3,2,2,8.884953704,2-5 years,10-15 % Salary Hike,0-1 years
19,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,1,1384,Male,2,Healthcare Representative,Single,41870,0,22,8,1,1,4,0,0,0,3,4,3,1,4,7.510175121,Less than year,20-25 % Salary Hike,Less than Year
36,No,Travel_Frequently,Sales,25,3,Marketing,1,1385,Female,2,Research Director,Single,55050,4,21,8,2,13,3,8,7,2,3,4,4,2,2,7.406964799,5-10 years,20-25 % Salary Hike,2-5 years
30,No,Non-Travel,Sales,1,3,Medical,1,1386,Female,1,Sales Executive,Divorced,54700,1,18,8,1,12,2,12,6,10,3,3,3,1,3,6.809022459,10+ years,15-20 % Salary Hike,5-10 years
45,No,Travel_Rarely,Research & Development,24,2,Medical,1,1387,Male,2,Sales Executive,Divorced,54760,4,13,8,1,9,3,5,0,3,3,3,3,1,4,8.125163329,2-5 years,10-15 % Salary Hike,2-5 years
56,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,1388,Male,4,Manager,Divorced,25870,4,12,8,0,19,2,2,2,2,2,3,3,1,3,8.283279827,2-5 years,10-15 % Salary Hike,2-5 years
33,No,Travel_Rarely,Research & Development,2,2,Medical,1,1389,Male,1,Sales Executive,Single,24400,0,18,8,3,4,4,3,0,2,3,3,3,4,4,6.78991823,2-5 years,15-20 % Salary Hike,2-5 years
19,Yes,Travel_Rarely,Research & Development,8,2,Life Sciences,1,1390,Male,2,Sales Executive,Single,159720,1,21,8,0,1,2,1,1,0,3,4,2,4,2,7.208066378,0-1 years,20-25 % Salary Hike,Less than Year
46,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,1391,Female,2,Laboratory Technician,Divorced,153790,1,12,8,0,24,1,24,15,7,1,3,2,1,3,6.921690307,Less than year,10-15 % Salary Hike,5-10 years
38,No,Travel_Rarely,Sales,4,4,Life Sciences,1,1392,Male,1,Manufacturing Director,Single,70820,1,14,8,0,2,3,2,2,1,4,3,3,4,3,7.930844956,2-5 years,10-15 % Salary Hike,0-1 years
31,No,Travel_Rarely,Sales,2,5,Life Sciences,1,1393,Male,2,Sales Representative,Married,27280,8,11,8,0,7,3,4,0,2,4,3,3,4,3,10.36256681,2-5 years,10-15 % Salary Hike,2-5 years
34,No,Travel_Rarely,Sales,9,3,Marketing,1,1394,Female,2,Manager,Single,53680,2,14,8,1,9,2,3,1,2,3,3,4,2,3,6.247778935,2-5 years,10-15 % Salary Hike,2-5 years
41,Yes,Travel_Rarely,Research & Development,18,4,Life Sciences,1,1395,Male,5,Laboratory Technician,Single,53470,1,24,8,1,4,1,4,0,2,3,4,2,2,2,10.1201576,2-5 years,20-25 % Salary Hike,2-5 years
50,No,Travel_Rarely,Sales,19,4,Marketing,1,1396,Male,3,Sales Executive,Married,31950,2,11,8,0,5,4,3,0,2,2,3,3,3,2,6.780491546,2-5 years,10-15 % Salary Hike,2-5 years
53,No,Travel_Rarely,Sales,1,2,Life Sciences,1,1397,Male,1,Manager,Divorced,39890,1,13,8,0,5,2,4,1,3,3,3,4,1,3,6.11638422,2-5 years,10-15 % Salary Hike,2-5 years
33,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,1398,Male,1,Human Resources,Married,33060,1,11,8,3,8,6,8,1,6,1,3,4,2,3,7.52175737,5-10 years,10-15 % Salary Hike,5-10 years
40,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,1399,Female,2,Sales Executive,Married,70050,1,20,8,2,21,2,20,9,9,3,4,4,3,3,6.206365348,10+ years,15-20 % Salary Hike,5-10 years
55,No,Travel_Rarely,Research & Development,6,1,Life Sciences,1,1400,Female,2,Laboratory Technician,Single,26550,8,17,8,0,36,0,24,2,15,2,3,3,2,3,6.105050827,Less than year,15-20 % Salary Hike,10+ years
34,No,Travel_Frequently,Human Resources,7,4,Other,1,1401,Female,1,Research Scientist,Married,13930,1,11,8,2,10,4,10,1,9,4,3,4,3,2,6.800573911,5-10 years,10-15 % Salary Hike,5-10 years
51,No,Travel_Rarely,Human Resources,4,2,Human Resources,1,1402,Male,2,Sales Representative,Single,25700,3,18,8,0,21,2,7,1,0,3,3,4,2,3,7.393497366,5-10 years,15-20 % Salary Hike,Less than Year
52,No,Travel_Rarely,Research & Development,2,4,Medical,1,1403,Female,2,Sales Representative,Married,35370,0,11,8,1,34,3,33,11,9,3,3,3,3,3,6.301128168,Less than year,10-15 % Salary Hike,5-10 years
27,No,Travel_Rarely,Sales,15,3,Marketing,1,1404,Male,1,Research Scientist,Single,39860,1,12,8,2,7,3,7,0,3,3,3,4,2,2,7.52798258,5-10 years,10-15 % Salary Hike,2-5 years
35,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1,1405,Female,2,Research Director,Married,108830,3,12,8,0,8,3,1,0,1,4,3,2,3,3,8.994780335,0-1 years,10-15 % Salary Hike,0-1 years
43,No,Non-Travel,Research & Development,6,2,Medical,1,1406,Male,1,Healthcare Representative,Divorced,20280,4,20,8,1,7,2,5,2,2,2,4,4,4,4,8.013822362,2-5 years,15-20 % Salary Hike,2-5 years
45,No,Non-Travel,Research & Development,9,2,Medical,1,1407,Female,1,Sales Executive,Married,95250,9,19,8,0,22,3,20,11,8,3,3,1,4,3,6.18109771,10+ years,15-20 % Salary Hike,5-10 years
37,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1408,Female,1,Research Scientist,Married,29290,1,12,8,0,8,2,8,1,7,1,3,2,1,3,10.12779412,5-10 years,10-15 % Salary Hike,5-10 years
35,No,Travel_Frequently,Research & Development,1,3,Other,1,1409,Male,2,Research Director,Single,22750,5,13,8,0,10,2,6,1,2,4,3,2,2,3,6.092942746,5-10 years,10-15 % Salary Hike,2-5 years
42,No,Non-Travel,Research & Development,1,1,Technical Degree,1,1410,Male,2,Sales Executive,Divorced,78790,2,11,8,1,11,2,5,0,2,3,3,3,3,3,6.402202729,2-5 years,10-15 % Salary Hike,2-5 years
38,No,Travel_Rarely,Sales,8,2,Marketing,1,1411,Male,5,Research Scientist,Married,49300,9,14,8,0,14,0,1,0,0,3,3,4,3,3,6.292136185,0-1 years,10-15 % Salary Hike,Less than Year
38,No,Travel_Rarely,Human Resources,25,1,Human Resources,1,1412,Female,1,Manufacturing Director,Married,78470,3,14,8,1,9,3,7,1,7,4,3,4,4,1,7.26368782,5-10 years,10-15 % Salary Hike,5-10 years
27,No,Travel_Frequently,Research & Development,13,4,Medical,1,1413,Male,1,Manager,Married,44010,5,13,8,0,6,4,2,2,0,2,3,3,1,3,6.51746152,2-5 years,10-15 % Salary Hike,Less than Year
49,No,Non-Travel,Research & Development,23,1,Other,1,1414,Female,2,Sales Executive,Divorced,92410,1,19,8,1,7,5,7,1,7,3,3,4,4,3,9.593414634,5-10 years,15-20 % Salary Hike,5-10 years
34,No,Travel_Frequently,Research & Development,7,2,Medical,1,1415,Male,4,Sales Representative,Divorced,29740,1,23,8,0,5,2,5,2,0,3,4,4,3,4,10.51136614,2-5 years,20-25 % Salary Hike,Less than Year
40,No,Travel_Rarely,Research & Development,23,3,Medical,1,1416,Female,1,Laboratory Technician,Married,45020,8,12,8,2,15,0,7,3,7,2,3,3,4,4,10.40071847,5-10 years,10-15 % Salary Hike,5-10 years
38,Yes,Travel_Rarely,Sales,6,4,Life Sciences,1,1417,Female,3,Research Scientist,Married,107480,7,15,8,0,17,3,1,0,0,3,3,2,1,3,8.369604019,0-1 years,10-15 % Salary Hike,Less than Year
29,Yes,Travel_Rarely,Sales,10,2,Life Sciences,1,1418,Female,2,Research Scientist,Married,15550,1,19,8,2,10,2,10,1,9,3,3,2,4,2,6.706100781,5-10 years,15-20 % Salary Hike,5-10 years
22,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1419,Female,4,Healthcare Representative,Divorced,129360,1,11,8,2,4,3,4,2,2,3,3,4,2,2,8.528221065,2-5 years,10-15 % Salary Hike,2-5 years
36,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,1420,Female,2,Laboratory Technician,Single,23050,1,17,8,0,8,3,8,1,7,3,3,2,4,3,7.500751563,5-10 years,15-20 % Salary Hike,5-10 years
40,No,Non-Travel,Research & Development,28,2,Life Sciences,1,1421,Male,1,Manufacturing Director,Married,167040,9,22,8,0,5,2,3,0,2,4,4,4,4,1,6.091838741,2-5 years,20-25 % Salary Hike,2-5 years
46,No,Travel_Rarely,Research & Development,25,1,Medical,1,1422,Male,5,Research Scientist,Divorced,34330,7,18,8,0,17,3,4,0,3,3,3,4,1,3,5.985083697,2-5 years,15-20 % Salary Hike,2-5 years
32,Yes,Travel_Rarely,Research & Development,5,3,Medical,1,1423,Male,1,Healthcare Representative,Married,34770,1,11,8,0,14,2,14,9,8,4,3,4,4,2,7.782491796,10+ years,10-15 % Salary Hike,5-10 years
30,No,Non-Travel,Research & Development,17,4,Life Sciences,1,1424,Male,2,Healthcare Representative,Single,64300,1,12,8,1,12,2,11,5,8,2,3,3,3,3,7.985305907,10+ years,10-15 % Salary Hike,5-10 years
27,No,Travel_Frequently,Research & Development,18,2,Medical,1,1425,Female,1,Laboratory Technician,Single,65160,1,19,8,1,7,4,7,0,7,3,3,4,3,3,6.198006608,5-10 years,15-20 % Salary Hike,5-10 years
51,No,Travel_Rarely,Research & Development,2,1,Medical,1,1426,Female,1,Manufacturing Director,Married,39070,5,13,8,0,16,2,10,4,7,3,3,2,2,1,6.702637131,5-10 years,10-15 % Salary Hike,5-10 years
30,Yes,Travel_Rarely,Research & Development,10,4,Life Sciences,1,1427,Female,2,Research Scientist,Single,55620,5,13,8,0,8,3,5,0,4,2,3,4,1,3,8.525496377,2-5 years,10-15 % Salary Hike,2-5 years
41,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1428,Male,2,Human Resources,Single,68830,3,19,8,2,16,3,1,0,0,2,3,4,4,3,9.090398707,0-1 years,15-20 % Salary Hike,Less than Year
30,Yes,Travel_Frequently,Sales,3,2,Medical,1,1429,Male,2,Healthcare Representative,Single,28620,5,14,8,0,9,2,6,0,1,2,3,3,1,2,7.008028017,5-10 years,10-15 % Salary Hike,0-1 years
29,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1430,Male,1,Sales Executive,Single,49780,0,13,8,0,7,3,6,1,5,2,3,3,3,2,7.785265046,5-10 years,10-15 % Salary Hike,2-5 years
45,No,Non-Travel,Research & Development,2,3,Medical,1,1431,Female,2,Research Scientist,Single,103680,6,12,8,2,23,2,19,12,8,3,3,4,4,3,6.593532266,10+ years,10-15 % Salary Hike,5-10 years
54,No,Travel_Rarely,Sales,8,2,Marketing,1,1432,Female,2,Laboratory Technician,Married,61340,2,19,8,0,16,2,6,0,5,2,3,4,1,3,6.422204185,5-10 years,15-20 % Salary Hike,2-5 years
36,No,Travel_Rarely,Research & Development,16,4,Life Sciences,1,1433,Male,1,Healthcare Representative,Single,67350,8,25,8,2,16,3,13,3,7,2,4,4,2,4,7.587336735,10+ years,20-25 % Salary Hike,5-10 years
33,No,Travel_Rarely,Sales,9,1,Other,1,1434,Female,3,Sales Executive,Married,32950,6,22,8,2,7,2,3,1,1,3,4,3,2,3,7.494024334,2-5 years,20-25 % Salary Hike,0-1 years
37,No,Travel_Frequently,Sales,2,4,Life Sciences,1,1435,Male,2,Laboratory Technician,Divorced,52380,1,15,8,1,10,5,10,0,7,3,3,2,4,3,10.13470718,5-10 years,10-15 % Salary Hike,5-10 years
38,No,Travel_Rarely,Research & Development,1,2,Medical,1,1436,Male,4,Laboratory Technician,Divorced,64720,0,12,8,0,17,4,16,5,13,3,3,1,3,2,6.88438722,10+ years,10-15 % Salary Hike,10+ years
31,No,Non-Travel,Sales,4,1,Medical,1,1437,Female,3,Research Scientist,Married,96100,0,11,8,1,6,2,5,1,4,2,3,3,3,3,5.99405807,2-5 years,10-15 % Salary Hike,2-5 years
59,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,1438,Female,3,Manager,Married,198330,3,13,8,0,7,2,1,0,0,3,3,3,4,3,6.183065972,0-1 years,10-15 % Salary Hike,Less than Year
